away_team,away_score_gd,away_percent_win,away_percent_points
angers,0.7000,0.20000,0.26667
arsenal,-0.3333,0.22222,0.44444
"aston villa",1.7778,0.00000,0.03704
atalanta,0.5000,0.10000,0.23333
"athletic club",0.4000,0.40000,0.46667
"atlético de madrid",-0.9000,0.70000,0.70000
augsburg,0.0000,0.33333,0.44444
barcelona,-2.1667,0.75000,0.80556
bastia,0.6000,0.30000,0.36667
"bayer leverkusen",-0.3750,0.50000,0.58333
"bayern munich",-1.2222,0.77778,0.85185
betis,0.7000,0.10000,0.23333
bologna,0.5455,0.27273,0.39394
"borussia dortmund",-1.1250,0.62500,0.70833
"borussia mönchengladbach",0.5556,0.11111,0.18519
bournemouth,0.2222,0.33333,0.44444
caen,1.2000,0.30000,0.33333
carpi,0.2727,0.18182,0.33333
"celta de vigo",1.4545,0.27273,0.30303
chelsea,-1.1000,0.60000,0.66667
chievo,0.9000,0.30000,0.33333
"crystal palace",1.2000,0.00000,0.13333
darmstadt,0.0000,0.44444,0.55556
"deportivo de la coruña",1.0000,0.10000,0.26667
eibar,1.3636,0.09091,0.15152
"eintracht frankfurt",1.4286,0.14286,0.19048
empoli,1.0000,0.10000,0.16667
espanyol,1.8000,0.10000,0.16667
everton,0.5000,0.20000,0.33333
fiorentina,0.2727,0.27273,0.39394
frosinone,1.5455,0.18182,0.24242
"gazélec ajaccio",0.8889,0.00000,0.14815
genoa,0.4000,0.30000,0.33333
getafe,1.6364,0.27273,0.27273
"girondins bordeaux",0.5000,0.40000,0.46667
granada,1.4000,0.20000,0.23333
guingamp,0.1111,0.33333,0.44444
hamburg,0.1250,0.25000,0.33333
hannover,1.0000,0.14286,0.23810
"hertha berlin",1.4286,0.14286,0.19048
hoffenheim,0.8750,0.25000,0.29167
ingolstadt,1.1429,0.00000,0.09524
inter,0.8182,0.18182,0.27273
juventus,-1.7000,0.80000,0.83333
köln,-0.2500,0.25000,0.45833
"las palmas",0.4545,0.36364,0.39394
lazio,-0.2727,0.27273,0.45455
leicester,-0.6667,0.55556,0.66667
levante,1.7273,0.00000,0.03030
lille,-0.4444,0.55556,0.62963
liverpool,-0.2222,0.44444,0.48148
lorient,1.1000,0.20000,0.26667
mainz,0.1111,0.33333,0.40741
málaga,0.2000,0.20000,0.33333
"manchester city",-0.4000,0.40000,0.53333
"manchester united",0.3333,0.33333,0.40741
milan,0.0000,0.30000,0.43333
mónaco,0.7778,0.22222,0.37037
montpellier,-0.2000,0.40000,0.50000
nantes,1.0000,0.11111,0.25926
napoli,-0.4000,0.50000,0.53333
newcastle,1.4000,0.00000,0.06667
nice,0.4444,0.22222,0.33333
norwich,1.4444,0.11111,0.11111
"olympique lyon",-0.2222,0.44444,0.48148
"olympique marseille",-0.2000,0.30000,0.46667
palermo,1.2727,0.18182,0.30303
psg,-2.2500,0.75000,0.79167
"rayo vallecano",0.4545,0.00000,0.18182
"real madrid",-1.1818,0.72727,0.81818
"real sociedad",0.1000,0.40000,0.46667
rennes,0.8889,0.33333,0.37037
roma,-1.2000,0.70000,0.76667
"saint étienne",-0.2000,0.40000,0.50000
sampdoria,0.7273,0.18182,0.27273
sassuolo,-0.3000,0.50000,0.56667
"schalke 04",0.0000,0.44444,0.48148
sevilla,1.0000,0.00000,0.12121
southampton,-0.2000,0.50000,0.56667
"sporting de gijón",1.4000,0.10000,0.23333
"stade de reims",1.1000,0.10000,0.16667
"stoke city",1.3333,0.22222,0.25926
stuttgart,0.6250,0.25000,0.37500
sunderland,-0.1111,0.22222,0.40741
swansea,0.5000,0.30000,0.36667
torino,-0.0833,0.33333,0.38889
tottenham,-0.7000,0.50000,0.60000
toulouse,0.5556,0.22222,0.33333
troyes,1.3636,0.18182,0.18182
udinese,1.1000,0.00000,0.13333
valencia,0.3000,0.30000,0.36667
verona,1.1818,0.09091,0.18182
villarreal,0.3636,0.27273,0.39394
watford,1.3000,0.20000,0.20000
"werder bremen",1.0000,0.25000,0.29167
"west bromwich",0.6000,0.10000,0.26667
"west ham",-0.3333,0.33333,0.44444
wolfsburg,0.8889,0.22222,0.25926
