,Team,Home,Away
1,ajaccio,0,0
2,almeru00eda,0,0
3,angers,0.4,0.3
4,arsenal,0.7,0.44
5,aston villa,0.3,0
6,atalanta,0.4,0.2
7,athletic club,0.6,0.5
8,atl??tico de madrid,0.9,0.7
9,atlu00e9tico de madrid,0,0
10,augsburg,0.3,0.4
11,auxerre,0,0
12,barcelona,0.8,0.8
13,bastia,0.6,0.4
14,bayer leverkusen,0.7,0.6
15,bayern mu00fcnchen,0,0
16,bayern munich,0.8,0.9
17,betis,0.5,0.2
18,blackburn rovers,0,0
19,bologna,0.3,0.4
20,bolton wanderers,0,0
21,borussia dortmund,0.9,0.7
22,borussia m??nchengladbach,0.9,0.2
23,borussia mu00f6nchengladbach,0,0
24,bournemouth,0.3,0.4
25,brest,0,0
26,burnley,0,0
27,caen,0.5,0.3
28,cagliari,0,0
29,cardiff,0,0
30,carpi,0.6,0.3
31,catania,0,0
32,celta de vigo,0.6,0.3
33,cesena,0,0
34,chelsea,0.4,0.7
35,chievo,0.5,0.3
36,crystal palace,0.3,0.1
37,cu00f3rdoba,0,0
38,darmstadt,0.2,0.6
39,deportivo de la coru?ña,0.2,0.3
40,deportivo de la coruu00f1a,0,0
41,dijon,0,0
42,eibar,0.5,0.2
43,eintracht braunschweig,0,0
44,eintracht frankfurt,0.6,0.2
45,elche,0,0
46,empoli,0.4,0.2
47,espanyol,0.5,0.2
48,everton,0.4,0.3
49,fiorentina,0.5,0.4
50,fortuna du00fcsseldorf,0,0
51,freiburg,0,0
52,frosinone,0.3,0.2
53,fulham,0,0
54,gaz??lec ajaccio,0.3,0.1
55,genoa,0.6,0.3
56,getafe,0.3,0.3
57,girondins bordeaux,0.5,0.5
58,granada,0.5,0.2
59,greuther fu00fcrth,0,0
60,guingamp,0.4,0.4
61,hamburg,0.4,0.3
62,hamburger,0,0
63,hannover,0.2,0.2
64,hertha berlin,0.5,0.2
65,hoffenheim,0.6,0.3
66,hull city,0,0
67,ingolstadt,0.7,0.1
68,inter,0.7,0.3
69,juventus,1,0.8
70,k??ln,0.3,0.5
71,kaiserslautern,0,0
72,ku00f6ln,0,0
73,las palmas,0.5,0.4
74,lazio,0.5,0.5
75,lecce,0,0
76,leicester,0.8,0.7
77,lens,0,0
78,levante,0.7,0
79,lille,0.6,0.6
80,liverpool,0.6,0.5
81,livorno,0,0
82,lorient,0.4,0.3
83,m?­laga,0.5,0.3
84,m??naco,0.8,0.4
85,mainz,0.7,0.4
86,mallorca,0,0
87,manchester city,0.5,0.5
88,manchester united,0.83,0.4
89,metz,0,0
90,milan,0.5,0.4
91,montpellier,0.4,0.5
92,mu00e1laga,0,0
93,mu00f3naco,0,0
94,nancy,0,0
95,nantes,0.6,0.3
96,napoli,0.9,0.5
97,newcastle,0.7,0.1
98,nice,0.8,0.3
99,norwich,0.4,0.1
100,novara,0,0
101,nu00fcrnberg,0,0
102,olympique lyon,0.9,0.5
103,olympique marseille,0.3,0.5
104,osasuna,0,0
105,paderborn,0,0
106,palermo,0.4,0.3
107,parma,0,0
108,pescara,0,0
109,psg,0.8,0.8
110,queens park rangers,0,0
111,racing de santander,0,0
112,rayo vallecano,0.6,0.2
113,reading,0,0
114,real madrid,0.9,0.8
115,real sociedad,0.5,0.5
116,real zaragoza,0,0
117,rennes,0.5,0.4
118,roma,0.8,0.8
119,saint ??tienne,0.5,0.5
120,saint u00e9tienne,0,0
121,saint-u00e9tienne,0,0
122,sampdoria,0.4,0.3
123,sassuolo,0.5,0.6
124,schalke 04,0.5,0.5
125,sevilla,0.7,0.1
126,siena,0,0
127,sochaux,0,0
128,southampton,0.8,0.6
129,sporting de gij??n,0.5,0.2
130,sporting de giju00f3n,0,0
131,stade de reims,0.5,0.2
132,stoke city,0.5,0.3
133,stuttgart,0.4,0.4
134,sunderland,0.5,0.4
135,swansea,0.6,0.4
136,torino,0.3,0.4
137,tottenham,0.6,0.6
138,toulouse,0.5,0.3
139,troyes,0.2,0.2
140,u00e9vian,0,0
141,udinese,0.4,0.1
142,valencia,0.3,0.4
143,valenciennes,0,0
144,valladolid,0,0
145,verona,0.5,0.2
146,villarreal,0.6,0.4
147,watford,0.4,0.2
148,werder bremen,0.5,0.3
149,west bromwich,0.4,0.3
150,west ham,0.7,0.4
151,wigan,0,0
152,wolfsburg,0.4,0.3
153,wolverhampton,0,0
